run,config,dataset,image,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95,erl,erl_ceiling,breaks,severs
B_cldice_s1,B_cldice,stare,im0324,0.4529979194250047,0.5427505173309799,106,12,111,5,54.644304369257,63.58,3671.72,83,24
B_cldice_s2,B_cldice,stare,im0001,0.6668346848917024,0.7636138854706236,133,14,137,4,15.297058540778355,861.93,7318.51,122,23
B_cldice_s2,B_cldice,stare,im0002,0.7117952790009384,0.740569524666193,88,10,90,2,21.587033144922902,901.9,7020.85,139,20
B_cldice_s2,B_cldice,stare,im0003,0.7226483495516123,0.7603929445618708,74,10,83,9,16.15549442140351,820.47,4712.73,112,20
B_cldice_s2,B_cldice,stare,im0004,0.5767922235722964,0.6856674190354275,123,15,134,11,34.31320254782626,172.62,2264.78,116,23
B_cldice_s2,B_cldice,stare,im0005,0.7392310801376658,0.7566069915025136,172,1,181,9,28.284271247461902,709.88,2831.52,106,20
B_cldice_s2,B_cldice,stare,im0044,0.6971554801427863,0.7266918791690914,145,1,161,16,26.1725046566048,777.11,1471.06,101,19
B_cldice_s2,B_cldice,stare,im0077,0.7601763090707645,0.803776497233048,100,2,107,7,13.45362404707371,2651.31,7243.06,72,5
B_cldice_s2,B_cldice,stare,im0081,0.7130798943932162,0.7811308498482055,138,1,141,3,18.0,2851.06,4825.14,70,12
B_cldice_s2,B_cldice,stare,im0082,0.7432546374367622,0.7964366151968094,114,10,122,8,12.041594578792296,1803.32,6053.12,116,14
B_cldice_s2,B_cldice,stare,im0139,0.7599524582412105,0.8077430942716931,110,13,114,4,11.40175425099138,1774.96,8206.02,113,19
B_cldice_s2,B_cldice,stare,im0162,0.7860704607046071,0.8309184970805684,98,13,102,4,8.54400374531753,7630.35,10366.0,148,4
B_cldice_s2,B_cldice,stare,im0163,0.7834044993945574,0.8343333605026616,88,1,89,1,13.341664064126334,2056.98,8302.0,54,10
B_cldice_s2,B_cldice,stare,im0235,0.7900625205659757,0.8362936983821699,103,7,112,9,7.615773105863909,1659.5,7740.86,122,15
B_cldice_s2,B_cldice,stare,im0236,0.7889630618602581,0.8343032061648,89,19,92,3,12.041594578792296,1933.59,7869.82,124,19
B_cldice_s2,B_cldice,stare,im0239,0.6984990400837745,0.7807290422180954,120,28,123,3,15.162386028813362,992.88,8654.32,148,22
B_cldice_s2,B_cldice,stare,im0240,0.692765400727108,0.7675294323027989,108,22,115,7,23.259406699226016,774.17,3646.87,116,18
B_cldice_s2,B_cldice,stare,im0255,0.8192024128686327,0.8355727433697657,127,22,130,3,9.219544457292887,6776.82,10587.03,213,8
B_cldice_s2,B_cldice,stare,im0291,0.762041591584279,0.7757585910898402,50,10,55,5,35.53500596905512,404.51,4590.45,90,12
B_cldice_s2,B_cldice,stare,im0319,0.6629231859564957,0.7079816471514537,123,14,130,7,37.33630940518894,239.39,2075.24,104,24
B_cldice_s2,B_cldice,stare,im0324,0.4346887031646164,0.5149853926269474,86,11,91,5,66.85057965343307,52.64,3671.72,77,16
B_cldice_s3,B_cldice,stare,im0001,0.6568279912786817,0.7480947096005334,158,16,162,4,16.866808681358677,735.74,7318.51,159,34
B_cldice_s3,B_cldice,stare,im0002,0.7237149638541119,0.7669097521705815,70,11,72,2,19.313207915827967,1188.09,7020.85,136,18
B_cldice_s3,B_cldice,stare,im0003,0.7335418264786294,0.7868803197322437,62,12,71,9,15.021642645942318,726.96,4712.73,111,22
B_cldice_s3,B_cldice,stare,im0004,0.5861461576273964,0.7119121736381611,127,15,138,11,25.942243542145693,162.5,2264.78,129,24
B_cldice_s3,B_cldice,stare,im0005,0.7725809038530345,0.7911573382766711,144,3,153,9,21.95449840010015,639.3,2831.52,89,14
B_cldice_s3,B_cldice,stare,im0044,0.7746177612295017,0.8207887694678425,111,1,127,16,11.40175425099138,814.26,1471.06,111,22
B_cldice_s3,B_cldice,stare,im0077,0.7745751800702061,0.8252620497265408,98,5,105,7,11.326915361785883,2905.13,7243.06,68,4
B_cldice_s3,B_cldice,stare,im0081,0.7259715069226139,0.7854256791691689,162,2,165,3,16.278820596099706,2703.37,4825.14,93,13
B_cldice_s3,B_cldice,stare,im0082,0.7812679064437151,0.8223787067644174,119,11,127,8,8.54400374531753,2770.98,6053.12,112,9
B_cldice_s3,B_cldice,stare,im0139,0.7783351106547125,0.8164130292857794,124,10,128,4,10.816653826391969,938.25,8206.02,123,24
B_cldice_s3,B_cldice,stare,im0162,0.7767081285899822,0.827353436648869,117,12,121,4,8.246211251235321,7437.93,10366.0,154,7
B_cldice_s3,B_cldice,stare,im0163,0.7933480814707453,0.8509892538213165,84,1,85,1,10.770329614269007,6130.51,8302.0,54,6
B_cldice_s3,B_cldice,stare,im0235,0.80315694073813,0.8605170730339079,82,7,91,9,6.708203932499369,2193.8,7740.86,140,17
B_cldice_s3,B_cldice,stare,im0236,0.8016536307146593,0.8567387574942895,100,18,103,3,8.06225774829855,1795.63,7869.82,116,19
B_cldice_s3,B_cldice,stare,im0239,0.7385514777525171,0.8117908804313481,99,29,102,3,10.816653826391969,1032.25,8654.32,166,17
B_cldice_s3,B_cldice,stare,im0240,0.6778293940476798,0.7616331555579002,101,27,108,7,25.495097567963924,720.53,3646.87,145,22
B_cldice_s3,B_cldice,stare,im0255,0.8252904272321748,0.8407545753272806,139,29,142,3,8.602325267042627,7184.93,10587.03,224,9
B_cldice_s3,B_cldice,stare,im0291,0.7901685462576808,0.8119699565085235,48,9,53,5,19.097105616132392,917.42,4590.45,115,7
B_cldice_s3,B_cldice,stare,im0319,0.6505010585744531,0.7201338745101609,101,14,108,7,25.299209107396887,158.38,2075.24,147,27
B_cldice_s3,B_cldice,stare,im0324,0.47374269973754524,0.5571457725995895,86,8,91,5,57.37285568016933,59.22,3671.72,88,17
